GeneLabel,t-statistic,p-FDR
MYRF,-2.9002448984897398,0.03190066135264816
CCK,3.268600186028455,0.022181298264431222
CDH9,3.0858028923030303,0.025940078552675334
CDH10,3.421011084204817,0.01897186249036011
CDH12,4.121016835505175,0.010962825085991236
CDH18,3.0358830421978684,0.027429486133622796
AP1S1,3.6127744317761925,0.01666435003332964
CNTN1,2.7943181998475555,0.03635120057596877
CA11,3.166134306551402,0.023731671347354537
DAB1,-2.7239653482556307,0.039698187074933944
CHN1,2.8781612471293347,0.032614892901187915
DPYSL2,3.236137547302045,0.022606356931430878
DRD2,-2.664204452233538,0.04260357185347338
NCAN,-2.8043196816373217,0.03601827926744931
EFNB3,-2.685181575029596,0.04176652072209471
CELSR2,3.0169622013136053,0.02792307772230702
EPHB6,2.6780258411922606,0.041998902175817955
DYNC1I1,2.7378624726004674,0.039264911310250415
ELAVL2,3.093616594489424,0.0258040835627398
EMX1,2.946509875360646,0.030186642811439138
EN2,-3.2164291509064524,0.023423673144493198
ENO2,3.4311536166512737,0.018855840469996252
CERS1,-2.812940592712761,0.03551544698529354
GFAP,-4.391714108426753,0.010849600111179998
GFRA2,2.899194125277508,0.03190066135264816
GNAO1,-2.7105554724704697,0.04027582256121123
GNG3,3.4651750738223415,0.01854819784636375
GPR17,-3.5889070541918975,0.016845318148276847
LYPD1,-2.7355839010891065,0.039350489351042864
FGF12,3.3655065399461246,0.019833168360262762
GRIK3,3.003422880811243,0.028419001951879286
GPM6B,-2.6569745928779716,0.0429476605626251
HMX1,-3.1802346812614655,0.02369928061165442
ITPKA,2.712987997403829,0.04017831470523833
ITPKB,-3.4881627402852775,0.017875167696754332
KCNA2,2.6116202172572107,0.04588328719031937
KCNB1,3.1139909889921293,0.025017039846562394
KCNC2,2.95525300088329,0.029851165570515807
KCNJ4,-2.8360779485369374,0.034184834917919425
KCNK1,4.580378657363173,0.009626877632411409
KIF3C,3.071192814655274,0.02614039054302042
KIF5A,3.04131866466029,0.027188703798575735
LCAT,-2.5918587325221702,0.047435402806898855
INSM1,-3.3144749697572857,0.021296951043508348
LIMK1,3.255266021482363,0.022181298264431222
CHST6,-3.0824808875015135,0.02598386780762239
MMP16,3.6493114774928763,0.016637912430504703
MPP3,2.697600780970161,0.040911650471134174
CD99,-2.897322402790186,0.03190066135264816
MYT1,-3.0937161641087974,0.0258040835627398
OR3A2,-2.998795333799058,0.028466028121747297
PDE1A,2.9408351477194765,0.030445173145291177
NOVA1,3.124746257522749,0.024864961950076318
NPAS1,4.075156758284797,0.011298929847266187
NPTX1,2.7927254845356675,0.03635120057596877
PI4KA,4.683951107226258,0.009626877632411409
PLXNB3,-3.737634032768275,0.01530102890545759
PMP2,-2.927966729806552,0.03110539913146115
MAPK10,2.83557414135036,0.034184834917919425
POU2F1,-3.2828099404272475,0.02216628585985395
POU2F2,2.848894550301617,0.033727417987104574
RAP2A,3.2010501457667226,0.023658195989526103
RASGRF2,3.375856417070971,0.019737218792591257
RGS7,2.9272988423540856,0.03110539913146115
RGS12,-3.5595182663097678,0.017183835581433587
RIT2,2.9793409585813073,0.02913704049647731
SALL2,-3.754930013769436,0.015242694653204296
SH3GL2,2.7753985566778043,0.03736004602043849
SKI,-2.8669593710705983,0.033076873519865095
SNCB,3.20961655381867,0.02352788587820561
SOX11,-2.8134676082070893,0.03551544698529354
SSTR2,3.3994949424591785,0.019297932253829392
STXBP1,3.435973640831644,0.018855840469996252
ABCC8,2.9080908671057153,0.03153257565875698
SLC18A2,-2.923481611631737,0.03114758533831364
TSPAN7,3.956004971589561,0.013310875547467491
TRH,-2.74037476870534,0.03910344592199991
UCHL1,2.683082693601465,0.0418995553344761
TIAM1,-2.9189791303753267,0.03114758533831364
VSNL1,3.3721768584546283,0.019798272726749236
WNT10B,2.615440262196672,0.045679750357565635
DPF3,-3.6095564661586734,0.01666435003332964
TYRO3,4.032128705627959,0.011608683263368284
DPF1,3.1805495106480453,0.02369928061165442
HYAL3,2.79341935130526,0.03635120057596877
ZIC1,-2.7803186960934156,0.03706774645603098
ZNF221,-4.583357960136404,0.009626877632411409
ZNF157,-2.9399223712452485,0.030445173145291177
RNF112,2.9127988100863353,0.031321286533621824
SLC30A3,2.7123664144745336,0.04017831470523833
TUBA1A,3.1494532821754144,0.024161267591328816
DOC2A,3.7001341609501464,0.01581040422185545
CHRD,2.614838152674808,0.045679750357565635
B3GALT2,3.8658849814566882,0.014511902815145701
KALRN,2.9844018240866736,0.028843467137410234
MAP7,-3.0122235708018392,0.028093087856984666
CLDN9,-2.5649866524012808,0.04932558192741623
ENC1,3.5428784513857194,0.01725453108445888
KCNAB2,3.764660036654139,0.015137074903581196
LMO4,3.5656008021617276,0.017183835581433587
SYNGR3,2.609969725191833,0.04588328719031937
GPR37L1,-3.2520995900132452,0.022181298264431222
GPR52,-2.83655231407489,0.034184834917919425
APLN,-3.190071399571124,0.02369928061165442
